1,7650
2,7582
3,7748
4,7797
5,8195
6,7588
7,7543
8,8156
9,7731
10,7539
11,8052
12,8183
13,7797
14,8460
15,8055
16,7971
17,8489
18,8238
19,7996
20,7866
21,8483
22,8213
23,8402
24,7628
25,8411
26,8206
27,7825
28,8078
29,8249
30,7821
31,7257
32,8106
33,7879
34,7712
35,8103
36,7449
37,8477
38,8021
39,7840
40,7439
41,7949
42,7489
43,8115
44,7035
45,7958
46,7513
47,6949
48,7393
49,7513
50,7520
51,7868
52,7826
53,7338
54,7877
55,7757
56,7900
57,7568
58,7280
59,7804
60,7433
61,8079
62,7592
63,8267
64,7512
65,8080
66,7836
67,7946
68,7957
69,7956
70,8563
71,8015
72,7968
73,8152
74,8067
75,8279
76,7722
77,7818
78,8364
79,8369
80,7843
81,7537
82,8000
83,7619
84,7935
85,7637
86,7958
87,7991
88,7682
89,7804
90,8073
91,7883
92,7370
93,7706
94,8355
95,8051
96,7740
97,7122
98,7440
99,7408
100,7265
101,7125
102,7013
103,7530
104,8011
105,7779
106,7417
107,8125
108,7729
109,7492
110,8115
111,7791
112,7914
113,7922
114,8224
115,7765
116,8253
117,8088
118,8154
119,7590
120,8009
121,8557
122,8234
123,8489
124,8606
125,8595
126,8600
127,8290
128,8253
129,8539
130,7922
131,8695
132,8053
133,8215
134,7746
135,8140
136,8379
137,8221
138,8315
139,7741
140,8355
141,8025
142,7793
143,8043
144,7578
145,8437
146,7955
147,8151
148,8201
149,7832
150,7673
151,7779
152,7940
153,7670
154,7673
155,8201
156,8005
157,7662
158,7744
159,8103
160,7753
161,7996
162,8992
163,8031
164,8303
165,8118
166,8190
167,7503
168,8524
169,8337
170,8205
171,8312
172,8103
173,8160
174,8644
175,8755
176,8234
177,8749
178,8125
179,8997
180,8317
181,8981
182,8288
183,8607
184,8713
185,8722
186,7873
187,8359
188,8058
189,8797
190,8049
191,8099
192,8360
193,8195
194,7711
195,8381
196,8313
197,8162
198,8314
199,8588
200,8153
201,8519
202,7385
203,7810
204,8186
205,7866
206,7532
207,8756
208,7948
209,8316
210,8273
211,8451
212,8367
213,8337
214,7959
215,7878
216,8066
217,8923
218,7825
219,8059
220,8761
221,8275
222,8401
223,8193
224,8827
225,8522
226,9045
227,9076
228,8679
229,8622
230,8639
231,8537
232,8644
233,8519
234,8415
235,8810
236,8778
237,8593
238,8504
239,8865
240,8557
241,8433
242,8406
243,8521
244,8532
245,8333
246,8416
247,8404
248,8416
249,7670
250,8557
251,8638
252,8590
253,8851
254,7907
255,7543
256,7919
257,8385
258,7642
259,8375
260,8524
261,8072
262,7608
263,8662
264,8201
265,8384
266,7896
267,8655
268,8557
269,8616
270,8302
271,8679
272,8242
273,8408
274,9075
275,8863
276,8403
277,8895
278,8475
279,8620
280,8519
281,8844
282,8361
283,8614
284,8759
285,8813
286,8786
287,8960
288,8644
289,8573
290,8814
291,8153
292,7819
293,8340
294,8663
295,8604
296,8942
297,8780
298,8216
299,8419
300,8063
301,8233
302,8711
303,8475
304,8400
305,8693
306,7825
307,8225
308,7894
309,7338
310,8589
311,8032
312,7850
313,8187
314,8489
315,8425
316,8484
317,8475
318,8507
319,8306
320,8438
321,8708
322,8404
323,8665
324,8275
325,8917
326,8270
327,8809
328,8428
329,8393
330,8921
331,9036
332,8622
333,9095
334,9176
335,9007
336,8959
337,8671
338,9035
339,8943
340,8612
341,8529
342,8969
343,7834
344,8514
345,8500
346,8766
347,8619
348,8702
349,8797
350,8771
351,8612
352,8868
353,8517
354,8327
355,8622
356,8888
357,8860
358,8288
359,8359
360,8049
361,8184
362,8223
363,8117
364,8428
365,8729
366,8782
367,8277
368,8713
369,8621
370,8386
371,8865
372,8840
373,8684
374,8699
375,8521
376,8548
377,9190
378,8685
379,8778
380,9004
381,8771
382,8752
383,9172
384,9004
385,8985
386,9056
387,9093
388,9297
389,9270
390,8939
391,9173
392,9135
393,8844
394,8899
395,8625
396,8582
397,8895
398,9090
399,8653
400,9022
401,9324
402,8759
403,8540
404,8667
405,9060
406,8616
